Stock,Year,Recruits,Spawners
Stock5,1990,0.002544,0.00063
Stock5,1991,0.001461,0.000464
Stock5,1992,0.067345,0.008236
Stock5,1993,0.033113,0.005047
Stock5,1994,0.027483,0.001712
Stock5,1995,0.027229,0.00104
Stock5,1996,0.111999,0.046592
Stock5,1997,0.051264,0.006093
Stock5,1998,0.01623,0.007198
Stock5,1999,0.061057,0.006979
Stock5,2000,0.115343,0.066292
Stock5,2001,0.0957,0.032498
Stock5,2002,0.042788,0.018369
Stock5,2003,0.008369,0.01004
Stock5,2004,0.047985,0.005611
Stock5,2005,0.008895,0.026456
Stock5,2006,0.016834,0.006073
Stock5,2007,0.010684,0.014353
Stock5,2008,0.018431,0.010406
Stock5,2009,0.03519,0.011464
Stock5,2010,0.043815,0.005119
Stock5,2011,NA,0.009241
Stock5,2012,NA,0.010003
Stock5,2013,NA,0.016368
Stock5,2014,NA,0.017078
Stock5,2015,NA,0.016054
Stock6,1948,0.000618,0.0001
Stock6,1949,0.463409,0.030664
Stock6,1950,0.002014,0.000398
Stock6,1951,0.000413,0.000049
Stock6,1952,0.000562,0.000184
Stock6,1953,0.604343,0.110919
Stock6,1954,0.010692,0.000299
Stock6,1955,0.00018,0.000063
Stock6,1956,0.001115,0.000081
Stock6,1957,0.989724,0.223667
Stock6,1958,0.003385,0.001863
Stock6,1959,0.000165,0.000065
Stock6,1960,0.001469,0.000292
Stock6,1961,1.196316,0.302554
Stock6,1962,0.007257,0.001078
Stock6,1963,0.000956,0.000083
Stock6,1964,0.002812,0.000392
Stock6,1965,1.652928,0.364704
Stock6,1966,0.007434,0.001753
Stock6,1967,0.00175,0.000119
Stock6,1968,0.000428,0.000699
Stock6,1969,1.63435,0.273129
Stock6,1970,0.020339,0.001368
Stock6,1971,0.000747,0.000171
Stock6,1972,0.000856,0.000111
Stock6,1973,2.330793,0.278061
Stock6,1974,0.030874,0.004459
Stock6,1975,0.001865,0.000193
Stock6,1976,0.001233,0.000305
Stock6,1977,3.864815,0.516199
Stock6,1978,0.196546,0.008614
Stock6,1979,0.006011,0.000511
Stock6,1980,0.002446,0.000308
Stock6,1981,9.767044,0.748621
Stock6,1982,0.555386,0.039841
Stock6,1983,0.040379,0.002155
Stock6,1984,0.006868,0.000914
Stock6,1985,12.471835,1.349263
Stock6,1986,2.532743,0.181467
Stock6,1987,0.176581,0.020546
Stock6,1988,0.026342,0.006832
Stock6,1989,10.619497,1.870672
Stock6,1990,3.283049,0.487644
Stock6,1991,0.150867,0.046259
Stock6,1992,0.029213,0.005862
Stock6,1993,6.844587,2.620454
Stock6,1994,2.476373,0.659499
Stock6,1995,0.167306,0.216109
Stock6,1996,0.087515,0.041187
Stock6,1997,4.677208,1.858652
Stock6,1998,4.739819,1.179252
Stock6,1999,0.810586,0.18936
Stock6,2000,0.05381,0.063703
Stock6,2001,3.691871,3.51092
Stock6,2002,0.63979,3.062151
Stock6,2003,0.143028,0.27899
Stock6,2004,0.012531,0.010222
Stock6,2005,0.206106,1.447381
Stock6,2006,0.648654,0.169127
Stock6,2007,0.076532,0.074715
Stock6,2008,0.01017,0.007091
Stock6,2009,0.308364,0.1494
Stock6,2010,2.424092,0.246565
Stock6,2011,NA,0.045433
Stock6,2012,NA,0.000605
Stock6,2013,NA,0.176656
Stock6,2014,NA,0.832594
Stock6,2015,NA,0.0456783
Stock7,1948,1.654244,0.670622
Stock7,1949,0.571003,0.058247
Stock7,1950,0.187983,0.017308
Stock7,1951,0.665674,0.100116
Stock7,1952,1.799904,0.485585
Stock7,1953,0.528558,0.200691
Stock7,1954,0.636547,0.034296
Stock7,1955,1.438974,0.121167
Stock7,1956,2.396538,0.646906
Stock7,1957,0.120511,0.138464
Stock7,1958,0.291933,0.120104
Stock7,1959,2.099156,0.46306
Stock7,1960,0.964857,0.426546
Stock7,1961,0.064296,0.039101
Stock7,1962,0.974191,0.077713
Stock7,1963,1.116906,0.998231
Stock7,1964,1.874731,0.238272
Stock7,1965,0.140915,0.035335
Stock7,1966,0.772105,0.209619
Stock7,1967,1.95668,0.174715
Stock7,1968,2.3713,0.413862
Stock7,1969,0.385793,0.070902
Stock7,1970,0.63113,0.135388
Stock7,1971,0.740253,0.168396
Stock7,1972,1.981889,0.56265
Stock7,1973,0.207582,0.055675
Stock7,1974,0.645809,0.110026
Stock7,1975,1.396383,0.244631
Stock7,1976,1.676112,0.38439
Stock7,1977,0.19327,0.05133
Stock7,1978,1.246777,0.146842
Stock7,1979,1.687672,0.258391
Stock7,1980,4.394455,0.497759
Stock7,1981,0.185203,0.03454
Stock7,1982,1.487694,0.249578
Stock7,1983,1.753748,0.382833
Stock7,1984,0.503604,0.580179
Stock7,1985,0.550437,0.071975
Stock7,1986,4.692771,0.293804
Stock7,1987,4.349335,0.421015
Stock7,1988,3.13746,0.363389
Stock7,1989,3.101966,0.063268
Stock7,1990,2.591261,0.825837
Stock7,1991,1.255045,1.037737
Stock7,1992,1.852267,0.511267
Stock7,1993,3.929559,0.555226
Stock7,1994,1.404652,0.450745
Stock7,1995,1.22432,0.544364
Stock7,1996,1.335165,0.974846
Stock7,1997,0.868494,0.985827
Stock7,1998,0.497517,0.87901
Stock7,1999,1.559255,0.891567
Stock7,2000,0.452112,0.758941
Stock7,2001,1.090728,0.668671
Stock7,2002,1.225485,0.382753
Stock7,2003,0.351206,0.608321
Stock7,2004,0.422076,0.091909
Stock7,2005,0.300022,0.535967
Stock7,2006,4.799307,0.468947
Stock7,2007,1.073264,0.305853
Stock7,2008,0.511039,0.249863
Stock7,2009,1.795462,0.213379
Stock7,2010,2.560163,2.459946
Stock7,2011,NA,0.916643
Stock7,2012,NA,0.245522
Stock7,2013,NA,1.197733
Stock7,2014,NA,1.025587
Stock7,2015,NA,0.6606
Stock8,1948,0.029658,0.003889
Stock8,1949,0.025617,0.010772
Stock8,1950,0.161081,0.011049
Stock8,1951,0.068695,0.02432
Stock8,1952,0.011156,0.005963
Stock8,1953,0.04487,0.005692
Stock8,1954,0.432402,0.024774
Stock8,1955,0.309325,0.008971
Stock8,1956,0.012737,0.00249
Stock8,1957,0.011959,0.01087
Stock8,1958,0.189334,0.078371
Stock8,1959,0.17556,0.05231
Stock8,1960,0.008697,0.002901
Stock8,1961,0.025649,0.003622
Stock8,1962,0.17035,0.057836
Stock8,1963,0.113939,0.071654
Stock8,1964,0.018498,0.002745
Stock8,1965,0.034707,0.006089
Stock8,1966,0.14117,0.028698
Stock8,1967,0.219687,0.013361
Stock8,1968,0.022108,0.003838
Stock8,1969,0.014617,0.007176
Stock8,1970,0.223705,0.011971
Stock8,1971,0.133969,0.019028
Stock8,1972,0.056465,0.002802
Stock8,1973,0.024381,0.002704
Stock8,1974,0.247377,0.044588
Stock8,1975,0.179019,0.036828
Stock8,1976,0.018384,0.008306
Stock8,1977,0.055279,0.005709
Stock8,1978,0.261195,0.062808
Stock8,1979,0.135215,0.049306
Stock8,1980,0.052838,0.008309
Stock8,1981,0.026268,0.011359
Stock8,1982,0.505718,0.063271
Stock8,1983,0.268723,0.029831
Stock8,1984,0.035843,0.017172
Stock8,1985,0.043244,0.00562
Stock8,1986,0.823036,0.126166
Stock8,1987,0.441906,0.084315
Stock8,1988,0.010843,0.016781
Stock8,1989,0.018809,0.005507
Stock8,1990,0.278691,0.272041
Stock8,1991,0.095449,0.128253
Stock8,1992,0.017906,0.005742
Stock8,1993,0.008716,0.010119
Stock8,1994,0.172547,0.064038
Stock8,1995,0.066023,0.048746
Stock8,1996,0.03947,0.021654
Stock8,1997,0.001944,0.002254
Stock8,1998,0.214222,0.034048
Stock8,1999,0.133899,0.018895
Stock8,2000,0.059563,0.025465
Stock8,2001,0.019042,0.006892
Stock8,2002,0.506803,0.113408
Stock8,2003,0.012076,0.031345
Stock8,2004,0.006918,0.001323
Stock8,2005,0.00782,0.00359
Stock8,2006,1.092741,0.107941
Stock8,2007,0.018292,0.009979
Stock8,2008,0.002345,0.00135
Stock8,2009,0.046996,0.005164
Stock8,2010,0.294594,0.552134
Stock8,2011,NA,0.016456
Stock8,2012,NA,0.000822
Stock8,2013,NA,0.022594
Stock8,2014,NA,0.114002
Stock8,2015,NA,0.007897
Stock9,1948,0.02833,0.010356
Stock9,1949,0.021384,0.003606
Stock9,1950,9.316321,1.271431
Stock9,1951,0.52203,0.143498
Stock9,1952,0.016451,0.007317
Stock9,1953,0.029571,0.003473
Stock9,1954,15.107801,2.026754
Stock9,1955,0.853876,0.063859
Stock9,1956,0.007419,0.003321
Stock9,1957,0.002206,0.002809
Stock9,1958,2.080873,2.294736
Stock9,1959,0.374607,0.134826
Stock9,1960,0.002333,0.001907
Stock9,1961,0.006996,0.00115
Stock9,1962,2.751141,1.144569
Stock9,1963,3.051092,0.158468
Stock9,1964,0.01728,0.000604
Stock9,1965,0.024312,0.002087
Stock9,1966,3.937025,1.28218
Stock9,1967,3.116378,0.844954
Stock9,1968,0.020783,0.003686
Stock9,1969,0.027967,0.005985
Stock9,1970,5.376623,1.528862
Stock9,1971,0.680439,0.290192
Stock9,1972,0.040407,0.004192
Stock9,1973,0.064051,0.003808
Stock9,1974,6.898196,1.150772
Stock9,1975,1.023083,0.167365
Stock9,1976,0.013049,0.00478
Stock9,1977,0.093025,0.01251
Stock9,1978,9.474629,1.897353
Stock9,1979,1.491217,0.299403
Stock9,1980,0.021794,0.0025
Stock9,1981,0.009466,0.010293
Stock9,1982,9.312105,3.060235
Stock9,1983,1.963829,0.211365
